year,month,day,hour,minute,lat1,lat2,lat3,lon1,lon2,lon3,wp1,wp2,wp3,size1,size2,size3,d1,d2,d3,mask1,mask2,mask3
2020,9,5,15,0,8.69,6.786709277189806,6.6071237379742245,-23.45,-8.971590177997612,-9.673684998681395,130.40782601237922,0.0,0.0,2810.172383716482,0,0,934.2979469774938,1279.602336275935,1239.813044142626,1,0,0
2020,9,5,15,0,8.69,22.627637383740115,7.033840948944747,-23.349999999999998,-26.134162159215144,-11.830673202720924,130.40782601237922,0.0,0.0,2810.172383716482,0,0,926.7481552224237,1267.0152223648188,1052.6515784503308,1,0,0
2020,9,5,15,0,8.69,22.980820162806992,22.310330035219984,-23.249999999999996,-9.060011916174442,-23.86483818938117,130.40782601237922,0.0,0.0,2810.172383716482,0,0,919.2651660125504,1274.8521529906072,1080.281107781471,1,0,0
2020,9,5,15,0,8.69,22.95580861562508,9.96329384450015,-23.149999999999995,-11.594030489119191,-8.596965901972457,130.40782601237922,0.0,0.0,2810.172383716482,0,0,911.850624930628,1104.7655057345785,1098.7172100820223,1,0,0
2020,9,5,15,0,8.69,21.340334471801974,7.199342745254443,-23.049999999999994,-24.083732153729656,-24.038047276023867,130.40782601237922,0.0,0.0,2810.172383716482,0,0,904.5062162069374,1015.4105419449135,1101.065460574213,1,0,0
2020,9,5,15,0,8.69,6.557716243857616,7.941138805800022,-22.949999999999992,-26.37913853278096,-25.153040174954032,130.40782601237922,0.0,0.0,2810.172383716482,0,0,897.2336630151306,1330.2927941419573,1126.3988597568396,1,0,0
2020,9,5,15,0,8.69,22.736261292264764,20.122415234359902,-22.84999999999999,-11.89383974557489,-8.707692032229172,130.40782601237922,0.0,0.0,2810.172383716482,0,0,890.0347277041345,1067.214913652711,1106.3915941382206,1,0,0
2020,9,5,15,0,8.69,20.900284461852756,5.76287168089081,-22.74999999999999,-24.435205834242435,-19.10291936487805,130.40782601237922,0.0,0.0,2810.172383716482,0,0,882.9112119593357,1008.0263818817278,1011.5336002578425,1,0,0
2020,9,5,15,0,8.69,5.784352695525255,23.402883853804965,-22.649999999999988,-13.123940168353084,-24.26706317562212,130.40782601237922,0.0,0.0,2810.172383716482,0,0,875.8649568858795,1100.8640759339646,1200.8998791611164,1,0,0
2020,9,5,15,0,8.69,6.901206523037425,23.45223345086024,-22.549999999999986,-10.886787987989246,-13.371380222639296,130.40782601237922,0.0,0.0,2810.172383716482,0,0,868.8978430065773,1127.3714612634183,1062.221095725089,1,0,0
