year,month,day,hour,minute,lat1,lat2,lat3,lon1,lon2,lon3,wp1,wp2,wp3,size1,size2,size3,d1,d2,d3,mask1,mask2,mask3
2020,9,5,15,0,11.0,11.099342830602247,11.129537707620138,-20.0,-20.027652860234237,-19.695394028718393,130.40782601237922,130.40782601237922,130.40782601237922,936.7241279054939,936.7241279054939,936.7241279054939,496.11132720848053,488.61364789000834,466.22672635171165,1,1,1
2020,9,5,15,0,11.0,10.953169325055333,11.315842563101478,-19.95,-19.996827391389836,-19.796513054169417,130.40782601237922,130.40782601237922,130.40782601237922,936.7241279054939,936.7241279054939,936.7241279054939,493.1339591786063,500.2822319793956,454.57110590153184,1,1,1
2020,9,5,15,0,11.0,10.90610512281301,10.907316461437507,-19.9,-19.791487991282807,-19.99314595071405,130.40782601237922,130.40782601237922,130.40782601237922,936.7241279054939,936.7241279054939,936.7241279054939,490.1984166734695,492.9432207724272,504.35101160429633,1,1,1
2020,9,5,15,0,11.0,11.048392454313207,10.655016433497394,-19.849999999999998,-20.232656048931556,-19.962457505848192,130.40782601237922,130.40782601237922,130.40782601237922,936.7241279054939,936.7241279054939,936.7241279054939,487.30545568032903,506.1312678659851,526.4808195003623,1,1,1
2020,9,5,15,0,11.0,10.797433775933115,10.818395184895758,-19.799999999999997,-19.737150533480943,-20.082460740267056,130.40782601237922,130.40782601237922,130.40782601237922,936.7241279054939,936.7241279054939,936.7241279054939,484.45583914540316,500.47059151510604,517.9437889444004,1,1,1
2020,9,5,15,0,11.0,11.29312975378431,11.013505640937584,-19.749999999999996,-19.795155260097303,-20.034949637242686,130.40782601237922,130.40782601237922,130.40782601237922,936.7241279054939,936.7241279054939,936.7241279054939,481.6503365022608,456.59908932807895,496.96793771579945,1,1,1
2020,9,5,15,0,11.0,10.891123455094963,10.76980128451554,-19.699999999999996,-19.677815482058023,-19.62486039633086,130.40782601237922,130.40782601237922,130.40782601237922,936.7241279054939,936.7241279054939,936.7241279054939,478.8897231621845,488.21549328939966,497.31321233634435,1,1,1
2020,9,5,15,0,11.0,10.879872262016239,10.87965867755412,-19.649999999999995,-19.70833874995865,-19.279544363098207,130.40782601237922,130.40782601237922,130.40782601237922,936.7241279054939,936.7241279054939,936.7241279054939,476.1747799655471,490.9371755435521,469.6994244372022,1,1,1
2020,9,5,15,0,11.0,10.997300555052414,11.164508982420639,-19.599999999999994,-19.811542185791176,-19.8441687299942,130.40782601237922,130.40782601237922,130.40782601237922,936.7241279054939,936.7241279054939,936.7241279054939,473.5062925933385,485.3661858749686,471.5020381485127,1,1,1
2020,9,5,15,0,11.0,11.041772719000951,10.734362790220313,-19.549999999999994,-19.94193402477595,-19.510627752826167,130.40782601237922,130.40782601237922,130.40782601237922,936.7241279054939,936.7241279054939,936.7241279054939,470.88505093810215,488.7560095742368,495.136599726313,1,1,1
2020,9,5,15,0,11.0,11.147693315999081,10.976870343522352,-19.499999999999993,-19.465726343762,-19.560220739117852,130.40782601237922,130.40782601237922,130.40782601237922,936.7241279054939,936.7241279054939,936.7241279054939,468.3118484336657,452.0647631211412,473.67803921778636,1,1,1
2020,9,5,15,0,11.0,10.704295601926514,10.907872245808042,-19.449999999999992,-19.593968841678933,-19.23857555475621,130.40782601237922,130.40782601237922,130.40782601237922,936.7241279054939,936.7241279054939,936.7241279054939,465.78748134320216,502.2191583333199,464.99617355308874,1,1,1
2020,9,5,15,0,11.0,11.068723657913692,11.06481679387896,-19.39999999999999,-19.752608031072537,-19.477016456083255,130.40782601237922,130.40782601237922,130.40782601237922,936.7241279054939,936.7241279054939,936.7241279054939,463.31274800531713,475.24011954269264,460.7688331713338,1,1,1
2020,9,5,15,0,11.0,10.864615599938809,11.20619990449919,-19.34999999999999,-19.227664742231816,-19.16374397617675,130.40782601237922,130.40782601237922,130.40782601237922,936.7241279054939,936.7241279054939,936.7241279054939,460.88844803804096,468.905061951221,431.4355112823192,1,1,1
2020,9,5,15,0,11.0,10.832156495355472,11.066252686280713,-19.29999999999999,-19.36184247517023,-19.104890974575518,130.40782601237922,130.40782601237922,130.40782601237922,936.7241279054939,936.7241279054939,936.7241279054939,458.51538150079585,478.2725271504511,442.991587005617,1,1,1
2020,9,5,15,0,11.0,10.904165152430942,10.778733005198795,-19.24999999999999,-19.28713179533275,-19.489241324816124,130.40782601237922,130.40782601237922,130.40782601237922,936.7241279054939,936.7241279054939,936.7241279054939,456.1943480146188,467.5681036956422,489.6785502223638,1,1,1
2020,9,5,15,0,11.0,11.162505164478839,10.985597975683934,-19.19999999999999,-18.928751994285825,-18.999293420421584,130.40782601237922,130.40782601237922,130.40782601237922,936.7241279054939,936.7241279054939,936.7241279054939,453.92614584115404,425.7336195584696,446.85706791285395,1,1,1
2020,9,5,15,0,11.0,11.072327205009527,11.072279121101683,-19.149999999999988,-19.27902395092101,-18.842392686706795,130.40782601237922,130.40782601237922,130.40782601237922,936.7241279054939,936.7241279054939,936.7241279054939,451.71157092116096,450.27237231724035,431.7548648079158,1,1,1
2020,9,5,15,0,11.0,10.99283479217801,10.476050979182052,-19.099999999999987,-18.787071268837185,-18.935619499124943,130.40782601237922,130.40782601237922,130.40782601237922,936.7241279054939,936.7241279054939,936.7241279054939,449.5514158735498,438.0704320210848,497.7034807708641,1,1,1
2020,9,5,15,0,11.0,11.017409413647634,11.0183521553071,-19.049999999999986,-19.10980147009316,-19.447513782920165,130.40782601237922,130.40782601237922,130.40782601237922,936.7241279054939,936.7241279054939,936.7241279054939,447.4464689562176,448.1909057995904,463.84967530712737,1,1,1
2020,9,5,15,0,11.0,10.956065622432497,11.295578808948303,-18.999999999999986,-18.928577485697637,-19.103654043654714,130.40782601237922,130.40782601237922,130.40782601237922,936.7241279054939,936.7241279054939,936.7241279054939,445.3975129902435,447.13930960447965,419.6612150464284,1,1,1
2020,9,5,15,0,11.0,10.838301279421362,11.183080423540416,-18.949999999999985,-19.050351408716892,-18.88424977806805,130.40782601237922,130.40782601237922,130.40782601237922,936.7241279054939,936.7241279054939,936.7241279054939,443.4053242492913,464.1379194029926,421.83020790509164,1,1,1
